序号,ID,商品,现价,原价,商品网址,店铺,店铺网址,图片网址,数量,分类,rule_id,seller_id,app_id,application_id,sid
30,27143684886,品牌新款高端皮草羽绒服女,621.00,2346.00,//item.taobao.com/item.htm?id=27143684886,慧慧美尚,//ms191.taobao.com/dc-3773.htm,//gw.alicdn.com/bao/uploaded/TB1OanwKFXXXXXqXVXXSutbFXXX.jpg,3632,nvzhuang,1206064,57120937,5296848805944,5296848805944,238414
31,522921693214,大毛领长款羽绒服,341.00,1288.00,//item.taobao.com/item.htm?id=522921693214,猫猫原创定制女装,//shop109506057.taobao.com/dc-3773.htm,//gw.alicdn.com/bao/uploaded/TB1yw8aKFXXXXXJXVXXSutbFXXX.jpg,45571,nvzhuang,1206064,1882797886,5230306395944,5230306395944,238414
32,524351041095,加厚女长袖毛领连帽羽绒服,599.00,1198.00,//item.taobao.com/item.htm?id=524351041095,AW定制女装,//shop36106543.taobao.com/,//gw.alicdn.com/bao/uploaded/TB18iytKVXXXXaLXFXXSutbFXXX.jpg,2685,nvzhuang,1206064,115232883,5249668485944,5249668485944,238414
33,524502704114,A字版白鸭绒面包羽绒服,268.00,988.00,//item.taobao.com/item.htm?id=524502704114,帕莎木服饰,//gzdxc1980.taobao.com/dc-3773.htm,//gw.alicdn.com/bao/uploaded/TB1QFyiKFXXXXbGXVXXSutbFXXX.jpg,8824,nvzhuang,1206064,334724657,5263521825944,5263521825944,238414
34,524543378172,超大真毛领中长款羽绒服,578.00,1196.00,//item.taobao.com/item.htm?id=524543378172,小镇姗姗,//shop59128228.taobao.com/,//gw.alicdn.com/bao/uploaded/TB11MWJKVXXXXaqXXXXSutbFXXX.jpg,5985,nvzhuang,1206064,201512228,5272704035944,5272704035944,238414
35,524576171093,中长款真狐狸毛领羽绒服,580.00,1160.00,//item.taobao.com/item.htm?id=524576171093,哚啦,//shop33531012.taobao.com/,//gw.alicdn.com/bao/uploaded/TB16M2ZKFXXXXXFXpXXSutbFXXX.jpg,7090,nvzhuang,1206064,20868741,5300906355944,5300906355944,238414
36,524251661211,欧货爆款奢华狐狸毛羽绒服,688.00,2098.00,//item.taobao.com/item.htm?id=524251661211,趣歌风尚,//shop37082597.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1lTHzKFXXXXbDXFXXSutbFXXX.jpg,11874,nvzhuang,1206064,178725139,5297068475944,5297068475944,238414
37,524416900320,超值首发韩版绝美羽绒服,278.60,558.00,//item.taobao.com/item.htm?id=524416900320,默默家精品女装,//shop68998048.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1hvXEKFXXXXcdXVXXSutbFXXX.jpg,3695,nvzhuang,1206064,379133697,5250101185944,5250101185944,238414
38,524481735929,冬季新款狐狸大毛领羽绒服,368.00,888.00,//item.taobao.com/item.htm?id=524481735929,素巧格,//suqiaoge.taobao.com/dc-3773.htm,//gw.alicdn.com/bao/uploaded/TB1D.AQKFXXXXcjXVXXSutbFXXX.jpg,10890,nvzhuang,1206064,397734889,5352200075944,5352200075944,238414
39,524842862149,100%羊毛双面双穿大衣,797.99,1139.99,//item.taobao.com/item.htm?id=524842862149,麻里_mali,//shop35181212.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1p7egKVXXXXacaXXXSutbFXXX.jpg,2134,nvzhuang,1206620,78123130,5408220825944,5408220825944,238785
40,524411080844,狐狸毛大衣修身羊毛呢外套,187.00,1188.00,//item.taobao.com/item.htm?id=524411080844,【bob定制】,//shop62439637.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1bR2.KFXXXXXoXXXXSutbFXXX.jpg,19325,nvzhuang,1206620,471594703,5302425415944,5302425415944,238785
41,524506346407,冬季新款翻领单排扣呢大衣,255.00,510.00,//item.taobao.com/item.htm?id=524506346407,蘑菇家,//shop34579222.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1B8qTKFXXXXXuXFXXSutbFXXX.jpg,13594,nvzhuang,1206620,63418058,5270027925944,5270027925944,238785
42,524277974916,翻领修身毛呢大衣外套,298.00,1253.00,//item.taobao.com/item.htm?id=524277974916,潮娲,//e8e8e.taobao.com/dc-3773.htm,//gw.alicdn.com/bao/uploaded/TB1lG1pKVXXXXXQXVXXwu0bFXXX.png,3903,nvzhuang,1206620,52777183,5239006775944,5239006775944,238785
43,522709009347,毛呢外套中长款毛呢大衣女,129.00,288.00,//item.taobao.com/item.htm?id=522709009347,梵珂品牌时尚女装,//shop35817585.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1H5CaKFXXXXa8XFXXSutbFXXX.jpg,413879,nvzhuang,1206620,105897215,5257822305944,5257822305944,238785
44,524514563821,专供新款两色夹棉毛呢大衣,299.00,428.00,//item.taobao.com/item.htm?id=524514563821,滕雨佳Amiu,//shop71124749.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1RRStKVXXXXXqXXXXSutbFXXX.jpg,1295,nvzhuang,1206620,539549300,5329765465944,5329765465944,238785
45,524575518879,于momo真毛领毛呢外套,468.80,758.00,//item.taobao.com/item.htm?id=524575518879,于MOMO,//shop60552065.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1VVNkKVXXXXcQXpXXSutbFXXX.jpg,2427,nvzhuang,1206620,372477188,5280408705944,5280408705944,238785
46,524458721519,刺绣小狐狸55%毛呢大衣,598.00,968.00,//item.taobao.com/item.htm?id=524458721519,Candy CC,//shop35482174.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1HwjJKFXXXXa7XVXXSutbFXXX.jpg,229,nvzhuang,1206620,56104664,5305122375944,5305122375944,238785
47,524778740674,大金家 三色牛角扣大衣,279.30,399.00,//item.taobao.com/item.htm?id=524778740674,大金家,//shop72183041.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1zeByKVXXXXcyXXXXSutbFXXX.jpg,1920,nvzhuang,1206620,202207645,5366043525944,5366043525944,238785
48,524514411648,笑涵阁狐狸毛双面羊毛大衣,899.00,1518.00,//item.taobao.com/item.htm?id=524514411648,笑涵阁,//shop33375831.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1emPrKVXXXXakXpXXwu0bFXXX.png,316,nvzhuang,1206620,17358122,5451228315944,5451228315944,238785
49,524365339151,超乖超初恋粉底液色呢大衣,279.30,399.00,//item.taobao.com/item.htm?id=524365339151,OWOLE朴瑟,//shop127514221.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1NqilKVXXXXb0XXXXSutbFXXX.jpg,190,nvzhuang,1206620,2599312972,5409240495944,5409240495944,238785
50,524553134596,大毛领连帽牛角扣大衣外套,337.00,535.00,//item.taobao.com/item.htm?id=524553134596,凶猛熊猫欧美,//shop36450860.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1OqyjKVXXXXcLXVXXSutbFXXX.jpg,30494,nvzhuang,1206620,136781748,5304345765944,5304345765944,238785
51,524326351677,修身毛领中长款毛呢外套,248.00,699.00,//item.taobao.com/item.htm?id=524326351677,绿谷布衣女装,//8886603.taobao.com/dc-3773.htm,//gw.alicdn.com/bao/uploaded/TB1O_VoKFXXXXcmXpXXSutbFXXX.jpg,30807,nvzhuang,1206620,2144265242,5234221095944,5234221095944,238785
52,524350213937,宽松中长款毛呢格子大衣,198.00,396.00,//item.taobao.com/item.htm?id=524350213937,柚子美衣,//shop35265359.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1v0pWKFXXXXbqXFXXSutbFXXX.jpg,622,nvzhuang,1206620,1200778,5251905605944,5251905605944,238785
53,524577018585,灰色大衣,398.30,569.00,//item.taobao.com/item.htm?id=524577018585,it girl,//shop106185249.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1sh53KFXXXXcKXFXXSutbFXXX.jpg,327,nvzhuang,1206620,853720914,5281401105944,5281401105944,238785
